年,月,地域区分,データ区分,地域コード,地域名称,人数
2021,4,都道府県,観光来訪者数,47,沖縄県,562359
2021,5,都道府県,観光来訪者数,1,北海道,2562212
2021,5,都道府県,観光来訪者数,2,青森県,754616
2021,5,都道府県,観光来訪者数,3,岩手県,819344
2021,5,都道府県,観光来訪者数,4,宮城県,1432204
2021,5,都道府県,観光来訪者数,5,秋田県,688644
2021,5,都道府県,観光来訪者数,6,山形県,669605
2021,5,都道府県,観光来訪者数,7,福島県,1266734
2021,5,都道府県,観光来訪者数,8,茨城県,1962281
2021,5,都道府県,観光来訪者数,9,栃木県,2216574
2021,5,都道府県,観光来訪者数,10,群馬県,1370995
2021,5,都道府県,観光来訪者数,11,埼玉県,2317218
2021,5,都道府県,観光来訪者数,12,千葉県,3385418
2021,5,都道府県,観光来訪者数,13,東京都,4430321
2021,5,都道府県,観光来訪者数,14,神奈川県,2926288
2021,5,都道府県,観光来訪者数,15,新潟県,1567644
2021,5,都道府県,観光来訪者数,16,富山県,479938
2021,5,都道府県,観光来訪者数,17,石川県,589473
2021,5,都道府県,観光来訪者数,18,福井県,439931
2021,5,都道府県,観光来訪者数,19,山梨県,1258875
2021,5,都道府県,観光来訪者数,20,長野県,1884663
2021,5,都道府県,観光来訪者数,21,岐阜県,1655657
2021,5,都道府県,観光来訪者数,22,静岡県,3467721
2021,5,都道府県,観光来訪者数,23,愛知県,2573107
2021,5,都道府県,観光来訪者数,24,三重県,1197782
2021,5,都道府県,観光来訪者数,25,滋賀県,1066493
2021,5,都道府県,観光来訪者数,26,京都府,990619
2021,5,都道府県,観光来訪者数,27,大阪府,1228126
2021,5,都道府県,観光来訪者数,28,兵庫県,2365649
2021,5,都道府県,観光来訪者数,29,奈良県,838371
2021,5,都道府県,観光来訪者数,30,和歌山県,583839
2021,5,都道府県,観光来訪者数,31,鳥取県,391187
2021,5,都道府県,観光来訪者数,32,島根県,590090
2021,5,都道府県,観光来訪者数,33,岡山県,914119
2021,5,都道府県,観光来訪者数,34,広島県,1285124
2021,5,都道府県,観光来訪者数,35,山口県,792336
2021,5,都道府県,観光来訪者数,36,徳島県,360609
2021,5,都道府県,観光来訪者数,37,香川県,333445
2021,5,都道府県,観光来訪者数,38,愛媛県,431475
2021,5,都道府県,観光来訪者数,39,高知県,440035
2021,5,都道府県,観光来訪者数,40,福岡県,1676920
2021,5,都道府県,観光来訪者数,41,佐賀県,555515
2021,5,都道府県,観光来訪者数,42,長崎県,436099
2021,5,都道府県,観光来訪者数,43,熊本県,1149150
2021,5,都道府県,観光来訪者数,44,大分県,878034
2021,5,都道府県,観光来訪者数,45,宮崎県,529342
2021,5,都道府県,観光来訪者数,46,鹿児島県,750908
2021,5,都道府県,観光来訪者数,47,沖縄県,542725
2021,6,都道府県,観光来訪者数,1,北海道,2103151
2021,6,都道府県,観光来訪者数,2,青森県,628547
2021,6,都道府県,観光来訪者数,3,岩手県,624291
2021,6,都道府県,観光来訪者数,4,宮城県,1236621
2021,6,都道府県,観光来訪者数,5,秋田県,637986
2021,6,都道府県,観光来訪者数,6,山形県,683144
2021,6,都道府県,観光来訪者数,7,福島県,1073103
2021,6,都道府県,観光来訪者数,8,茨城県,1493210
2021,6,都道府県,観光来訪者数,9,栃木県,1653470
2021,6,都道府県,観光来訪者数,10,群馬県,1023568
2021,6,都道府県,観光来訪者数,11,埼玉県,1658566
2021,6,都道府県,観光来訪者数,12,千葉県,2533857
2021,6,都道府県,観光来訪者数,13,東京都,6243150
2021,6,都道府県,観光来訪者数,14,神奈川県,2406800
2021,6,都道府県,観光来訪者数,15,新潟県,1244176
2021,6,都道府県,観光来訪者数,16,富山県,349495
2021,6,都道府県,観光来訪者数,17,石川県,452640
2021,6,都道府県,観光来訪者数,18,福井県,356487
2021,6,都道府県,観光来訪者数,19,山梨県,854644
2021,6,都道府県,観光来訪者数,20,長野県,1332681
